ticker,quarter,jobs,water_mgal,jobs_yoy,water_yoy
APA,2012Q1,197,7.982657,,
APA,2012Q2,220,1.580516,,
APA,2012Q3,216,9.951956000000001,,
APA,2012Q4,226,242.852237678182,,
APA,2013Q1,234,352.892122,0.18781725888324874,43.207351261616274
APA,2013Q2,259,433.85589300000004,0.17727272727272725,273.50268962794433
APA,2013Q3,295,521.036049,0.3657407407407407,51.355139934300354
APA,2013Q4,297,652.795525,0.31415929203539816,1.6880358659287231
APA,2014Q1,244,580.343518,0.042735042735042805,0.6445352044441504
APA,2014Q2,229,801.0338652,-0.11583011583011582,0.8463132070445334
APA,2014Q3,229,886.223567,-0.22372881355932206,0.7008872393779417
APA,2014Q4,202,877.551066,-0.31986531986531985,0.3442970001977266
APA,2015Q1,121,621.548453,-0.5040983606557377,0.0710009394815021
APA,2015Q2,91,467.05783199999996,-0.6026200873362446,-0.4169312281405404
APA,2015Q3,136,724.495968,-0.4061135371179039,-0.18249074502438734
APA,2015Q4,62,273.223294,-0.693069306930693,-0.6886525416174469
APA,2016Q1,42,208.267755,-0.6528925619834711,-0.6649211272351119
APA,2016Q2,26,160.154796,-0.7142857142857143,-0.6570985753216103
APA,2016Q3,40,195.19989900000002,-0.7058823529411764,-0.7305714488117068
APA,2016Q4,23,189.28844,-0.6290322580645161,-0.307202408591121
APA,2017Q1,43,338.823802,0.023809523809523725,0.6268663480815837
APA,2017Q2,42,401.288319,0.6153846153846154,1.5056278614347582
APA,2017Q3,57,649.322367,0.42500000000000004,2.32644827341842
APA,2017Q4,74,698.587483,2.217391304347826,2.6905977089778963
APA,2018Q1,63,681.451442,0.4651162790697674,1.0112265961763809
APA,2018Q2,66,683.474555,0.5714285714285714,0.7032007228697827
APA,2018Q3,73,816.4289650000001,0.2807017543859649,0.25735536998681585
APA,2018Q4,64,774.821035,-0.1351351351351351,0.10912527615385281
APA,2019Q1,33,455.90714,-0.47619047619047616,-0.3309763368290004
APA,2019Q2,58,667.037787,-0.12121212121212122,-0.024048836755890646
APA,2019Q3,53,700.48228,-0.273972602739726,-0.14201686854654905
APA,2019Q4,57,736.5373430000001,-0.109375,-0.04940972207859584
APA,2020Q1,37,538.950882,0.1212121212121211,0.182150562502706
APA,2020Q3,1,12.87426,-0.9827586206896551,-0.9806993542931024
APA,2020Q4,7,161.802732,-0.8679245283018868,-0.7690123838678689
APA,2021Q1,29,397.02921000000003,-0.49122807017543857,-0.460951689994624
APA,2021Q2,27,441.439487,-0.2702702702702703,-0.18092816665990719
APA,2021Q3,32,553.797022,31.0,42.01583329837987
APA,2021Q4,8,217.289968,0.1428571428571428,0.3429313912944312
APA,2022Q1,11,393.79262099999994,-0.6206896551724138,-0.008152017328901584
APA,2022Q2,11,326.132605,-0.5925925925925926,-0.2612065422230794
APA,2022Q3,16,424.126494,-0.5,-0.23414811356641785
APA,2022Q4,9,307.237671,0.125,0.41395239655058536
APA,2023Q1,17,656.764786,0.5454545454545454,0.6677935313572065
APA,2023Q2,28,676.785536,1.5454545454545454,1.0751851413323115
APA,2023Q3,25,642.523822,0.5625,0.5149344148257808
APA,2023Q4,18,636.8393990000001,1.0,1.072790738607051
APA,2024Q1,32,1017.5053839999999,0.8823529411764706,0.5492690925119119
APA,2024Q2,63,1760.3067110000002,1.25,1.6009815774195273
APA,2024Q3,50,1551.0292200000001,1.0,1.4139637580628102
APA,2024Q4,36,1299.589224,1.0,1.0406859657877416
APA,2025Q1,33,1043.3343479999999,0.03125,0.02538459688386263
APA,2025Q2,57,1304.2740469999999,-0.09523809523809523,-0.25906432166070414
APA,2025Q3,30,716.121916,-0.4,-0.5382924404222378
APA,2025Q4,32,673.91877,-0.11111111111111116,-0.48143708984770717
APA,2026Q1,33,889.554834,0.0,-0.14739236208870587
APA,2026Q2,54,1166.546598,-0.052631578947368474,-0.10559701721949544
AR,2013Q4,30,224.92012599999998,,
AR,2014Q1,35,350.35795200000007,,
AR,2014Q2,49,510.967425,,
AR,2014Q3,49,565.0148774,,
AR,2014Q4,55,618.587317,0.8333333333333333,1.7502532921398064
AR,2015Q1,43,494.605691,0.22857142857142865,0.4117153276429697
AR,2015Q2,34,425.730449,-0.30612244897959184,-0.16681489235835334
AR,2015Q3,21,260.949662,-0.5714285714285714,-0.5381543523229004
AR,2015Q4,35,456.810428,-0.36363636363636365,-0.26152635942259383
AR,2016Q1,34,445.77447800000004,-0.2093023255813954,-0.09872755993015847
AR,2016Q2,29,426.023689,-0.1470588235294118,0.0006887926402463496
AR,2016Q3,32,559.477472,0.5238095238095237,1.144005352265986
AR,2016Q4,33,561.929824,-0.05714285714285716,0.2301160165284144
AR,2017Q1,34,607.70059,0.0,0.36324670879879295
AR,2017Q2,36,603.136606,0.24137931034482762,0.4157349029480848
AR,2017Q3,34,598.2584754,0.0625,0.06931646999362995
AR,2017Q4,34,568.8138759,0.030303030303030276,0.012250732397502961
AR,2018Q1,38,772.661002,0.11764705882352944,0.2714501429067233
AR,2018Q2,56,996.4630113000001,0.5555555555555556,0.6521348586492528
AR,2018Q3,43,784.6345794,0.2647058823529411,0.31153107170840766
AR,2018Q4,30,494.6183883,-0.11764705882352944,-0.130438955066989
AR,2019Q1,33,636.129166287,-0.13157894736842102,-0.1767034124403758
AR,2019Q2,26,528.87679466,-0.5357142857142857,-0.4692459342068105
AR,2019Q3,29,532.861768848,-0.32558139534883723,-0.32087906544283007
AR,2019Q4,34,614.1498554679999,0.1333333333333333,0.24166401815110183
AR,2020Q1,43,715.91546424,0.303030303030303,0.1254246813091464
AR,2020Q2,24,403.43005863999997,-0.07692307692307687,-0.2371946307469326
AR,2020Q3,20,373.901784,-0.31034482758620685,-0.29831373564603325
AR,2020Q4,8,180.49302699999998,-0.7647058823529411,-0.7061091435697577
AR,2021Q1,21,402.68567099999996,-0.5116279069767442,-0.4375234352180364
AR,2021Q2,21,427.744335,-0.125,0.06026887644903223
AR,2021Q3,16,307.664085,-0.19999999999999996,-0.1771526690549302
AR,2021Q4,16,316.082652,1.0,0.7512180789122676
AR,2022Q1,16,356.11102800000003,-0.23809523809523814,-0.1156600454253559
AR,2022Q2,18,406.445156,-0.1428571428571429,-0.049794181377060154
AR,2022Q3,20,406.99265,0.25,0.322847449028703
AR,2022Q4,21,418.118732,0.3125,0.32281455294800554
AR,2023Q1,24,498.58409951,0.5,0.4000804813885177
AR,2023Q2,19,394.303514,0.05555555555555558,-0.02987276836927044
AR,2023Q3,18,420.13687037,-0.09999999999999998,0.03229596497627152
AR,2023Q4,15,330.689573,-0.2857142857142857,-0.20910127269782308
AR,2024Q1,16,399.952655,-0.33333333333333337,-0.19782308462490739
AR,2024Q2,17,403.21575745999996,-0.10526315789473684,0.022602495650089427
AR,2024Q3,10,254.93683689,-0.4444444444444444,-0.3932052745918587
AR,2024Q4,18,460.13161564,0.19999999999999996,0.3914306745922105
AR,2025Q1,20,354.188042,0.25,-0.1144250761380744
AR,2025Q2,16,381.82324671,-0.05882352941176472,-0.053054748863881285
AR,2025Q3,17,408.227736,0.7,0.6012897193673972
AR,2025Q4,21,480.864552,0.16666666666666674,0.045058708541821035
AR,2026Q1,22,444.37327200000004,0.10000000000000009,0.2546252817874637
AR,2026Q2,10,157.475808,-0.375,-0.5875688309789973
BP,2018Q2,1,12.13252,,
BP,2018Q3,4,67.228476,,
BP,2018Q4,2,31.845156,,
BP,2019Q1,5,97.43819199999999,,
BP,2019Q2,16,234.1666497,15.0,18.30074293716392
BP,2019Q3,36,527.20511056,8.0,6.841991101508831
BP,2019Q4,15,198.915463,6.5,5.246333445501099
BP,2020Q1,47,578.069114,8.4,4.932674879681676
BP,2020Q2,28,414.77428699999996,0.75,0.7712782222890555
BP,2020Q3,3,65.769018,-0.9166666666666666,-0.8752496577088568
BP,2021Q1,32,544.4828460020406,1.1333333333333333,1.7372575152794463
BP,2021Q2,23,439.81608700000004,-0.5106382978723405,-0.23916349040575102
BP,2021Q3,24,494.880895,-0.1428571428571429,0.19313301357082446
BP,2021Q4,8,144.758852,1.6666666666666665,1.2010189052845517
BP,2022Q1,19,361.823837,-0.40625,-0.3354724769443994
BP,2022Q2,34,786.625437,0.4782608695652173,0.7885326622898174
BP,2022Q3,13,277.51489200000003,-0.45833333333333337,-0.43922892396159274
BP,2022Q4,24,590.098038,2.0,3.076421095132752
BP,2023Q1,11,315.58684,-0.42105263157894735,-0.12778869790162561
BP,2023Q2,22,483.94453899999996,-0.3529411764705882,-0.38478402014858826
BP,2023Q3,35,645.474069,1.6923076923076925,1.3259078615500024
BP,2023Q4,39,928.251182,0.625,0.5730457012636263
BP,2024Q1,38,855.247108,2.4545454545454546,1.710021457168493
BP,2024Q2,38,825.2224819999999,0.7272727272727273,0.7052005250543802
BP,2024Q3,17,294.892035,-0.5142857142857142,-0.5431388352178714
BP,2024Q4,44,864.55885,0.1282051282051282,-0.0686154062985076
BP,2025Q1,50,1100.8527920000001,0.3157894736842106,0.2871751119677568
BP,2025Q2,48,1417.491425,0.26315789473684204,0.7177082010230547
BP,2025Q3,25,748.613249,0.47058823529411775,1.5386011154896062
BP,2025Q4,46,1220.107328,0.045454545454545414,0.4112484395943665
BP,2026Q1,49,1210.342531093,-0.020000000000000018,0.09945901930637047
BP,2026Q2,30,621.586326896,-0.375,-0.5614884746861872
CHK,2012Q1,428,15.381953999999999,,
CHK,2012Q2,436,31.407642,,
CHK,2012Q3,395,248.068174,,
CHK,2012Q4,285,1064.126196,,
CHK,2013Q1,346,1390.522295,-0.19158878504672894,89.39958739962427
CHK,2013Q2,410,1729.0422370000001,-0.059633027522935755,54.05164115790674
CHK,2013Q3,327,1292.973402,-0.17215189873417724,4.212169627209011
CHK,2013Q4,260,1136.99397,-0.08771929824561409,0.06847662831147905
CHK,2014Q1,223,968.274874,-0.3554913294797688,-0.30366102184647104
CHK,2014Q2,293,1427.571265,-0.2853658536585366,-0.1743572051328669
CHK,2014Q3,303,1735.060782,-0.07339449541284404,0.3419152933201637
CHK,2014Q4,333,1703.527857,0.28076923076923066,0.49827343147651004
CHK,2015Q1,259,1321.442607,0.16143497757847536,0.3647391277861456
CHK,2015Q2,119,823.2688089999999,-0.5938566552901023,-0.42330808332710457
CHK,2015Q3,83,490.418079,-0.7260726072607261,-0.7173481850966072
CHK,2015Q4,84,630.8975092,-0.7477477477477478,-0.6296523672286505
CHK,2016Q1,55,358.78572,-0.7876447876447876,-0.7284893660160301
CHK,2016Q2,131,762.2454620000001,0.10084033613445387,-0.07412323451695335
CHK,2016Q3,95,620.938054,0.14457831325301207,0.26614021910884733
CHK,2016Q4,85,574.176623,0.011904761904761862,-0.0899050723340532
CHK,2017Q1,105,1056.497602,0.9090909090909092,1.9446478583372824
CHK,2017Q2,101,978.469275,-0.2290076335877863,0.2836669075505758
CHK,2017Q3,121,1228.4648419999999,0.27368421052631575,0.9784016039706271
CHK,2017Q4,82,837.254032,-0.03529411764705881,0.4581820270310799
CHK,2018Q1,91,862.9597160000001,-0.1333333333333333,-0.18318819241389994
CHK,2018Q2,78,840.9638239999999,-0.2277227722772277,-0.140531189392738
CHK,2018Q3,104,997.2857034,-0.14049586776859502,-0.1881853926105277
CHK,2018Q4,84,717.8958907,0.024390243902439046,-0.1425590522566752
CHK,2019Q1,85,1001.7485558000001,-0.06593406593406592,0.1608288744268569
CHK,2019Q2,76,1057.098493,-0.02564102564102566,0.25700828362861894
CHK,2019Q3,106,1376.8821192,0.019230769230769162,0.38062955731327497
CHK,2019Q4,70,901.80565,-0.16666666666666663,0.2561788717312128
CHK,2020Q1,84,1122.079351,-0.0117647058823529,0.12012075735303007
CHK,2020Q2,37,454.348251,-0.513157894736842,-0.5701930766067226
CHK,2020Q3,27,349.591032,-0.7452830188679245,-0.7460995192506964
CHK,2020Q4,41,585.2099988,-0.41428571428571426,-0.3510686046378175
CHK,2021Q1,22,346.17418499999997,-0.7380952380952381,-0.6914886770784182
CHK,2021Q2,37,561.0667275999999,0.0,0.23488255179835593
CHK,2021Q3,30,450.1459347,0.11111111111111116,0.2876358187014363
CHK,2021Q4,44,836.1203286,0.07317073170731714,0.42875263634336935
CHK,2022Q1,40,753.2314139,0.8181818181818181,1.1758740152735538
CHK,2022Q2,53,1069.657011,0.43243243243243246,0.9064702260558717
CHK,2022Q3,69,1171.0375076,1.2999999999999998,1.601461920078071
CHK,2022Q4,43,690.460147,-0.022727272727272707,-0.1742095923488589
CHK,2023Q1,55,896.949751,0.375,0.1908023675697097
CHK,2023Q2,41,884.845473,-0.2264150943396226,-0.1727764471222636
CHK,2023Q3,57,964.061237,-0.17391304347826086,-0.17674606428635287
CHK,2023Q4,44,844.6476583,0.023255813953488413,0.2233112395696315
CHK,2024Q1,36,894.333208,-0.34545454545454546,-0.002917156727099579
CHK,2024Q2,16,387.83057,-0.6097560975609756,-0.5616968365277493
CHK,2024Q3,19,588.507876,-0.6666666666666667,-0.3895534293741135
CIVI,2021Q4,12,313.737732,,
CIVI,2022Q2,1,17.403498,,
CIVI,2022Q3,3,66.605952,,
CIVI,2023Q1,1,20.813562,,
CIVI,2023Q2,17,464.406861,0.41666666666666674,0.480239109397272
CIVI,2023Q3,19,447.295195,18.0,24.701453523883533
CIVI,2023Q4,39,1072.7920530000001,12.0,15.106549351625514
CIVI,2024Q1,33,828.6130759999999,32.0,38.81120944122875
CIVI,2024Q2,33,1031.707345,0.9411764705882353,1.2215592223991711
CIVI,2024Q3,25,640.338114,0.3157894736842106,0.43157834279887597
CIVI,2024Q4,16,480.04014499999994,-0.5897435897435898,-0.5525319714500161
CIVI,2025Q1,36,1064.874925,0.09090909090909083,0.28512927908465713
CIVI,2025Q2,38,851.0709919999999,0.1515151515151516,-0.17508487641909742
CIVI,2025Q3,25,657.2780170000001,0.0,0.026454622377827253
CIVI,2025Q4,8,183.86103100000003,-0.5,-0.6169882187665783
CIVI,2026Q1,40,952.5119878319165,0.11111111111111116,-0.10551749743575156
CIVI,2026Q2,38,839.1636252989999,0.0,-0.013991038130694466
CLR,2012Q1,84,0.0,,
CLR,2012Q2,83,5.271409,,
CLR,2012Q3,54,32.895413,,
CLR,2012Q4,90,226.68913592135186,,
CLR,2013Q1,84,227.569461,0.0,inf
CLR,2013Q2,77,226.81895799999998,-0.07228915662650603,42.028146364662646
CLR,2013Q3,104,312.084733,0.9259259259259258,8.487180872299735
CLR,2013Q4,81,264.5981876,-0.09999999999999998,0.16722923895126773
CLR,2014Q1,95,375.1045039,0.13095238095238093,0.6483077397630257
CLR,2014Q2,101,585.3909106,0.3116883116883118,1.5808729383193798
CLR,2014Q3,123,747.010355,0.1826923076923077,1.3936139003633987
CLR,2014Q4,118,891.384648,0.45679012345679015,2.3688237099625544
CLR,2015Q1,103,758.9278698,0.08421052631578951,1.0232438211467714
CLR,2015Q2,57,575.99104904,-0.4356435643564357,-0.01605740948448542
CLR,2015Q3,54,475.369285,-0.5609756097560976,-0.3636376232026931
CLR,2015Q4,14,235.21576000000002,-0.8813559322033898,-0.7361231646430599
CLR,2016Q1,20,384.8783448,-0.8058252427184466,-0.49286571212435937
CLR,2016Q2,23,419.84199,-0.5964912280701755,-0.27109632918819215
